Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
0,cypress-test-container-3,59f0dd391795,128.24%,227.5MiB / 7.684GiB,2.89%,1.13kB / 84B,0B / 0B,38
3,cypress-test-container-3,59f0dd391795,124.06%,347MiB / 7.684GiB,4.41%,1.17kB / 126B,0B / 442kB,219
6,cypress-test-container-3,59f0dd391795,256.54%,519.7MiB / 7.684GiB,6.61%,1.17kB / 126B,0B / 2.03MB,310
8,cypress-test-container-3,59f0dd391795,198.68%,589.4MiB / 7.684GiB,7.49%,73.6kB / 14.4kB,0B / 2.08MB,439
10,cypress-test-container-3,59f0dd391795,134.86%,855.1MiB / 7.684GiB,10.87%,74.4kB / 15.2kB,0B / 2.45MB,441
13,cypress-test-container-3,59f0dd391795,127.26%,648.7MiB / 7.684GiB,8.25%,86.3kB / 17.5kB,0B / 2.45MB,437
15,cypress-test-container-3,59f0dd391795,180.50%,753.5MiB / 7.684GiB,9.58%,86.9kB / 18.2kB,0B / 2.81MB,441
17,cypress-test-container-3,59f0dd391795,133.29%,961.6MiB / 7.684GiB,12.22%,99.6kB / 25.1kB,0B / 2.81MB,441
19,cypress-test-container-3,59f0dd391795,172.23%,985.8MiB / 7.684GiB,12.53%,1.23MB / 59.2kB,0B / 3.13MB,445
21,cypress-test-container-3,59f0dd391795,101.42%,999.8MiB / 7.684GiB,12.71%,5.95MB / 130kB,0B / 6.25MB,445
24,cypress-test-container-3,59f0dd391795,183.82%,925.3MiB / 7.684GiB,11.76%,9.24MB / 158kB,0B / 9.3MB,445
26,cypress-test-container-3,59f0dd391795,189.73%,847.4MiB / 7.684GiB,10.77%,12.2MB / 179kB,0B / 12.2MB,444
29,cypress-test-container-3,59f0dd391795,69.98%,845.4MiB / 7.684GiB,10.74%,13.2MB / 222kB,0B / 12.4MB,445
31,cypress-test-container-3,59f0dd391795,91.33%,873.8MiB / 7.684GiB,11.10%,13.3MB / 247kB,0B / 12.4MB,445
34,cypress-test-container-3,59f0dd391795,70.11%,892.9MiB / 7.684GiB,11.35%,13.4MB / 258kB,0B / 12.4MB,445
36,cypress-test-container-3,59f0dd391795,126.29%,949.8MiB / 7.684GiB,12.07%,13.4MB / 265kB,0B / 13.1MB,454
38,cypress-test-container-3,59f0dd391795,141.78%,616.1MiB / 7.684GiB,7.83%,13.4MB / 269kB,0B / 14.4MB,441
40,cypress-test-container-3,59f0dd391795,191.57%,619.6MiB / 7.684GiB,7.87%,13.5MB / 275kB,0B / 14.5MB,441
43,cypress-test-container-3,59f0dd391795,220.30%,642.2MiB / 7.684GiB,8.16%,14.3MB / 367kB,0B / 14.5MB,441
45,cypress-test-container-3,59f0dd391795,145.29%,658.7MiB / 7.684GiB,8.37%,14.8MB / 436kB,0B / 29.7MB,446
47,cypress-test-container-3,59f0dd391795,226.61%,674.2MiB / 7.684GiB,8.57%,15.2MB / 574kB,0B / 29.8MB,447
49,cypress-test-container-3,59f0dd391795,153.71%,691.7MiB / 7.684GiB,8.79%,15.5MB / 615kB,0B / 29.8MB,447
52,cypress-test-container-3,59f0dd391795,157.80%,741.6MiB / 7.684GiB,9.43%,15.7MB / 716kB,131kB / 29.9MB,445
55,cypress-test-container-3,59f0dd391795,117.71%,785.2MiB / 7.684GiB,9.98%,15.9MB / 804kB,131kB / 29.9MB,445
57,cypress-test-container-3,59f0dd391795,151.51%,844.5MiB / 7.684GiB,10.73%,16MB / 819kB,131kB / 30.6MB,456
59,cypress-test-container-3,59f0dd391795,179.96%,635.4MiB / 7.684GiB,8.08%,16MB / 825kB,131kB / 31MB,444
61,cypress-test-container-3,59f0dd391795,97.53%,649.2MiB / 7.684GiB,8.25%,16.1MB / 835kB,131kB / 45MB,442
64,cypress-test-container-3,59f0dd391795,318.33%,681.4MiB / 7.684GiB,8.66%,17.3MB / 1.02MB,131kB / 45.1MB,448
66,cypress-test-container-3,59f0dd391795,285.10%,705MiB / 7.684GiB,8.96%,18MB / 1.17MB,131kB / 45.1MB,446
68,cypress-test-container-3,59f0dd391795,187.04%,628MiB / 7.684GiB,7.98%,18MB / 1.18MB,131kB / 45.9MB,443
70,cypress-test-container-3,59f0dd391795,109.41%,999.1MiB / 7.684GiB,12.70%,18.1MB / 1.19MB,131kB / 46.1MB,443
73,cypress-test-container-3,59f0dd391795,279.57%,731MiB / 7.684GiB,9.29%,18.1MB / 1.2MB,131kB / 46.1MB,443
76,cypress-test-container-3,59f0dd391795,134.62%,927.6MiB / 7.684GiB,11.79%,18.1MB / 1.2MB,131kB / 47.1MB,443
78,cypress-test-container-3,59f0dd391795,97.81%,1.005GiB / 7.684GiB,13.08%,18.3MB / 1.22MB,131kB / 47.2MB,443
80,cypress-test-container-3,59f0dd391795,139.36%,979.8MiB / 7.684GiB,12.45%,19MB / 1.27MB,262kB / 47.5MB,452
83,cypress-test-container-3,59f0dd391795,175.94%,1.037GiB / 7.684GiB,13.49%,19MB / 1.28MB,262kB / 48.2MB,457
85,cypress-test-container-3,59f0dd391795,164.82%,1.04GiB / 7.684GiB,13.54%,19.1MB / 1.29MB,262kB / 48.2MB,458
87,cypress-test-container-3,59f0dd391795,259.23%,1.084GiB / 7.684GiB,14.10%,20.8MB / 1.36MB,262kB / 48.3MB,459
89,cypress-test-container-3,59f0dd391795,280.18%,1.128GiB / 7.684GiB,14.68%,21.6MB / 1.44MB,262kB / 49.9MB,460
91,cypress-test-container-3,59f0dd391795,314.47%,1.25GiB / 7.684GiB,16.27%,22.2MB / 1.57MB,262kB / 50MB,460
94,cypress-test-container-3,59f0dd391795,244.56%,1.163GiB / 7.684GiB,15.14%,22.9MB / 1.71MB,262kB / 50MB,460
