Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
0,cypress-test-container-1,fdfa8dfe7f78,121.13%,223.2MiB / 7.684GiB,2.84%,1.17kB / 126B,0B / 0B,38
3,cypress-test-container-1,fdfa8dfe7f78,242.92%,345.2MiB / 7.684GiB,4.39%,1.17kB / 126B,10.9MB / 442kB,213
5,cypress-test-container-1,fdfa8dfe7f78,204.92%,481.8MiB / 7.684GiB,6.12%,1.17kB / 126B,11MB / 2.01MB,302
7,cypress-test-container-1,fdfa8dfe7f78,177.50%,582.6MiB / 7.684GiB,7.40%,23.8kB / 11.5kB,11.1MB / 2.08MB,433
9,cypress-test-container-1,fdfa8dfe7f78,168.38%,723.2MiB / 7.684GiB,9.19%,73kB / 13.2kB,11.1MB / 2.08MB,433
11,cypress-test-container-1,fdfa8dfe7f78,40.47%,977.7MiB / 7.684GiB,12.43%,73.9kB / 14.1kB,11.1MB / 2.45MB,435
14,cypress-test-container-1,fdfa8dfe7f78,240.61%,688MiB / 7.684GiB,8.74%,85.9kB / 16.6kB,11.1MB / 2.59MB,436
16,cypress-test-container-1,fdfa8dfe7f78,119.34%,915.4MiB / 7.684GiB,11.63%,94.8kB / 23.1kB,11.1MB / 2.81MB,436
19,cypress-test-container-1,fdfa8dfe7f78,135.30%,1017MiB / 7.684GiB,12.93%,604kB / 47.7kB,11.1MB / 2.81MB,436
21,cypress-test-container-1,fdfa8dfe7f78,203.32%,1006MiB / 7.684GiB,12.78%,5.54MB / 104kB,11.5MB / 6.22MB,440
24,cypress-test-container-1,fdfa8dfe7f78,99.44%,1.003GiB / 7.684GiB,13.06%,6.33MB / 133kB,11.5MB / 6.27MB,440
26,cypress-test-container-1,fdfa8dfe7f78,183.92%,943.8MiB / 7.684GiB,12.00%,12MB / 168kB,11.5MB / 9.27MB,440
28,cypress-test-container-1,fdfa8dfe7f78,115.28%,853.9MiB / 7.684GiB,10.85%,12.1MB / 184kB,11.5MB / 12.2MB,440
30,cypress-test-container-1,fdfa8dfe7f78,93.93%,861.9MiB / 7.684GiB,10.95%,12.9MB / 233kB,11.5MB / 12.4MB,440
