Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
33,cypress-test-container-1,fdfa8dfe7f78,99.30%,862.9MiB / 7.684GiB,10.97%,13MB / 246kB,11.5MB / 12.4MB,439
36,cypress-test-container-1,fdfa8dfe7f78,95.25%,870.7MiB / 7.684GiB,11.07%,13MB / 257kB,11.5MB / 12.4MB,440
38,cypress-test-container-1,fdfa8dfe7f78,222.97%,641.9MiB / 7.684GiB,8.16%,13MB / 261kB,11.5MB / 14.2MB,436
40,cypress-test-container-1,fdfa8dfe7f78,85.73%,594.8MiB / 7.684GiB,7.56%,13.1MB / 268kB,11.5MB / 14.4MB,432
42,cypress-test-container-1,fdfa8dfe7f78,139.39%,657.7MiB / 7.684GiB,8.36%,13.7MB / 310kB,11.5MB / 14.4MB,436
45,cypress-test-container-1,fdfa8dfe7f78,130.76%,688.3MiB / 7.684GiB,8.75%,14.2MB / 383kB,11.5MB / 30.2MB,442
47,cypress-test-container-1,fdfa8dfe7f78,237.98%,710.1MiB / 7.684GiB,9.02%,14.6MB / 492kB,11.5MB / 30.2MB,442
49,cypress-test-container-1,fdfa8dfe7f78,194.93%,745MiB / 7.684GiB,9.47%,15MB / 574kB,11.5MB / 30.3MB,440
51,cypress-test-container-1,fdfa8dfe7f78,206.70%,787.4MiB / 7.684GiB,10.01%,15.4MB / 688kB,11.5MB / 30.3MB,440
54,cypress-test-container-1,fdfa8dfe7f78,194.32%,816.5MiB / 7.684GiB,10.38%,15.4MB / 704kB,11.6MB / 31MB,452
57,cypress-test-container-1,fdfa8dfe7f78,146.56%,682.3MiB / 7.684GiB,8.67%,15.4MB / 709kB,11.6MB / 31.2MB,437
59,cypress-test-container-1,fdfa8dfe7f78,155.78%,685.3MiB / 7.684GiB,8.71%,15.5MB / 716kB,11.6MB / 31.5MB,438
61,cypress-test-container-1,fdfa8dfe7f78,321.77%,736.5MiB / 7.684GiB,9.36%,16.8MB / 876kB,11.6MB / 45MB,442
64,cypress-test-container-1,fdfa8dfe7f78,266.89%,799.1MiB / 7.684GiB,10.16%,17.5MB / 1.06MB,11.6MB / 45.1MB,442
67,cypress-test-container-1,fdfa8dfe7f78,247.35%,703MiB / 7.684GiB,8.93%,17.6MB / 1.07MB,11.6MB / 45.9MB,437
69,cypress-test-container-1,fdfa8dfe7f78,161.82%,938.5MiB / 7.684GiB,11.93%,17.6MB / 1.08MB,11.6MB / 46.1MB,437
71,cypress-test-container-1,fdfa8dfe7f78,288.88%,792.7MiB / 7.684GiB,10.07%,17.6MB / 1.09MB,11.6MB / 46.1MB,438
74,cypress-test-container-1,fdfa8dfe7f78,136.81%,1.067GiB / 7.684GiB,13.89%,17.6MB / 1.1MB,11.6MB / 47.2MB,438
77,cypress-test-container-1,fdfa8dfe7f78,193.42%,1.074GiB / 7.684GiB,13.98%,18.4MB / 1.14MB,11.6MB / 47.3MB,439
79,cypress-test-container-1,fdfa8dfe7f78,167.82%,1.128GiB / 7.684GiB,14.69%,18.7MB / 1.18MB,11.6MB / 48MB,449
81,cypress-test-container-1,fdfa8dfe7f78,285.04%,1.154GiB / 7.684GiB,15.02%,18.7MB / 1.19MB,11.6MB / 48.3MB,453
84,cypress-test-container-1,fdfa8dfe7f78,222.81%,1.103GiB / 7.684GiB,14.35%,19.3MB / 1.22MB,11.6MB / 48.4MB,453
86,cypress-test-container-1,fdfa8dfe7f78,215.92%,1.143GiB / 7.684GiB,14.88%,20.8MB / 1.3MB,11.6MB / 48.5MB,453
89,cypress-test-container-1,fdfa8dfe7f78,253.32%,1.211GiB / 7.684GiB,15.77%,21.5MB / 1.4MB,11.6MB / 48.5MB,454
91,cypress-test-container-1,fdfa8dfe7f78,288.66%,1.295GiB / 7.684GiB,16.85%,22MB / 1.54MB,11.6MB / 78.8MB,454
94 ERROR timeout or no output
