Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
0,cypress-test-container-5,ea6af26cfadd,129.88%,250.6MiB / 7.684GiB,3.19%,1kB / 84B,0B / 0B,166
2,cypress-test-container-5,ea6af26cfadd,130.05%,353.8MiB / 7.684GiB,4.50%,1.17kB / 126B,0B / 442kB,222
4,cypress-test-container-5,ea6af26cfadd,205.03%,537.4MiB / 7.684GiB,6.83%,1.17kB / 126B,0B / 2.03MB,307
6,cypress-test-container-5,ea6af26cfadd,185.05%,643.3MiB / 7.684GiB,8.18%,73.8kB / 14.4kB,0B / 2.08MB,435
8,cypress-test-container-5,ea6af26cfadd,123.76%,866MiB / 7.684GiB,11.01%,74.6kB / 15.1kB,0B / 2.45MB,437
10,cypress-test-container-5,ea6af26cfadd,140.47%,649.8MiB / 7.684GiB,8.26%,86.5kB / 17.4kB,0B / 2.51MB,435
12,cypress-test-container-5,ea6af26cfadd,162.66%,833.9MiB / 7.684GiB,10.60%,87.1kB / 18.1kB,0B / 2.59MB,438
14,cypress-test-container-5,ea6af26cfadd,106.51%,908.6MiB / 7.684GiB,11.55%,119kB / 27.5kB,0B / 31.7MB,438
16,cypress-test-container-5,ea6af26cfadd,86.56%,917.8MiB / 7.684GiB,11.66%,832kB / 52.4kB,0B / 31.7MB,441
18,cypress-test-container-5,ea6af26cfadd,92.51%,826.6MiB / 7.684GiB,10.51%,2.18MB / 98.4kB,0B / 32MB,441
21,cypress-test-container-5,ea6af26cfadd,115.80%,862.9MiB / 7.684GiB,10.97%,6.64MB / 150kB,0B / 35.1MB,441
24,cypress-test-container-5,ea6af26cfadd,249.64%,899.8MiB / 7.684GiB,11.44%,11.3MB / 184kB,0B / 38.2MB,440
26,cypress-test-container-5,ea6af26cfadd,85.63%,908MiB / 7.684GiB,11.54%,13.4MB / 228kB,0B / 41.1MB,441
28,cypress-test-container-5,ea6af26cfadd,100.12%,923MiB / 7.684GiB,11.73%,13.7MB / 255kB,0B / 41.2MB,440
31,cypress-test-container-5,ea6af26cfadd,73.19%,956.7MiB / 7.684GiB,12.16%,13.8MB / 274kB,0B / 41.2MB,441
33,cypress-test-container-5,ea6af26cfadd,222.85%,943MiB / 7.684GiB,11.98%,13.9MB / 281kB,0B / 41.9MB,450
36,cypress-test-container-5,ea6af26cfadd,173.21%,613.8MiB / 7.684GiB,7.80%,13.9MB / 284kB,0B / 43.2MB,437
38,cypress-test-container-5,ea6af26cfadd,272.87%,608MiB / 7.684GiB,7.73%,14MB / 289kB,0B / 43.2MB,438
40,cypress-test-container-5,ea6af26cfadd,233.91%,637.8MiB / 7.684GiB,8.11%,14.8MB / 370kB,0B / 43.2MB,438
