Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
43,cypress-test-container-5,ea6af26cfadd,161.80%,659.5MiB / 7.684GiB,8.38%,15.1MB / 428kB,0B / 43.4MB,445
45,cypress-test-container-5,ea6af26cfadd,233.54%,679.9MiB / 7.684GiB,8.64%,15.6MB / 566kB,0B / 43.9MB,445
47,cypress-test-container-5,ea6af26cfadd,165.79%,711.4MiB / 7.684GiB,9.04%,15.9MB / 659kB,0B / 44.1MB,444
49,cypress-test-container-5,ea6af26cfadd,251.10%,769.4MiB / 7.684GiB,9.78%,16.2MB / 736kB,0B / 44.1MB,444
51,cypress-test-container-5,ea6af26cfadd,53.02%,773.6MiB / 7.684GiB,9.83%,16.3MB / 769kB,0B / 44.1MB,444
53,cypress-test-container-5,ea6af26cfadd,183.16%,636.3MiB / 7.684GiB,8.09%,16.3MB / 779kB,0B / 44.9MB,440
55,cypress-test-container-5,ea6af26cfadd,210.87%,622.7MiB / 7.684GiB,7.91%,16.5MB / 786kB,0B / 45MB,440
57,cypress-test-container-5,ea6af26cfadd,240.64%,661.9MiB / 7.684GiB,8.41%,17.3MB / 867kB,0B / 45.1MB,440
60,cypress-test-container-5,ea6af26cfadd,245.08%,745.2MiB / 7.684GiB,9.47%,18.5MB / 1.13MB,0B / 60.1MB,442
63,cypress-test-container-5,ea6af26cfadd,202.83%,647.8MiB / 7.684GiB,8.23%,18.5MB / 1.14MB,0B / 60.9MB,440
65,cypress-test-container-5,ea6af26cfadd,157.63%,872.6MiB / 7.684GiB,11.09%,18.5MB / 1.15MB,0B / 60.9MB,440
67,cypress-test-container-5,ea6af26cfadd,127.27%,695.8MiB / 7.684GiB,8.84%,18.5MB / 1.16MB,0B / 61.1MB,436
69,cypress-test-container-5,ea6af26cfadd,164.27%,802.8MiB / 7.684GiB,10.20%,18.5MB / 1.17MB,0B / 61.1MB,440
71,cypress-test-container-5,ea6af26cfadd,145.38%,921.5MiB / 7.684GiB,11.71%,18.6MB / 1.17MB,0B / 61.2MB,440
73,cypress-test-container-5,ea6af26cfadd,194.07%,952MiB / 7.684GiB,12.10%,19.2MB / 1.22MB,0B / 61.4MB,441
75,cypress-test-container-5,ea6af26cfadd,270.57%,1.03GiB / 7.684GiB,13.41%,19.6MB / 1.26MB,0B / 62.5MB,455
77,cypress-test-container-5,ea6af26cfadd,245.31%,1.022GiB / 7.684GiB,13.30%,19.7MB / 1.26MB,0B / 62.7MB,455
79,cypress-test-container-5,ea6af26cfadd,197.06%,1.066GiB / 7.684GiB,13.88%,20.4MB / 1.29MB,0B / 62.9MB,456
81,cypress-test-container-5,ea6af26cfadd,194.94%,1.051GiB / 7.684GiB,13.67%,22.1MB / 1.43MB,0B / 63MB,458
84,cypress-test-container-5,ea6af26cfadd,225.17%,1.118GiB / 7.684GiB,14.55%,22.7MB / 1.52MB,0B / 63.1MB,458
86,cypress-test-container-5,ea6af26cfadd,255.08%,1.222GiB / 7.684GiB,15.91%,23.5MB / 1.68MB,0B / 63.1MB,458
