Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
0,cypress-test-container-2,54c6746bd056,135.27%,233MiB / 7.684GiB,2.96%,910B / 84B,0B / 0B,38
2,cypress-test-container-2,54c6746bd056,136.64%,348.5MiB / 7.684GiB,4.43%,1.17kB / 126B,0B / 442kB,217
5,cypress-test-container-2,54c6746bd056,230.01%,530.1MiB / 7.684GiB,6.74%,1.17kB / 126B,0B / 2.03MB,304
7,cypress-test-container-2,54c6746bd056,144.33%,589.5MiB / 7.684GiB,7.49%,67.6kB / 12.7kB,0B / 2.08MB,433
9,cypress-test-container-2,54c6746bd056,15.23%,615.6MiB / 7.684GiB,7.82%,72.1kB / 15.2kB,0B / 2.45MB,435
11,cypress-test-container-2,54c6746bd056,125.43%,633.2MiB / 7.684GiB,8.05%,179kB / 17.4kB,0B / 2.51MB,436
14,cypress-test-container-2,54c6746bd056,246.54%,656.4MiB / 7.684GiB,8.34%,1.02MB / 103kB,0B / 2.81MB,437
17,cypress-test-container-2,54c6746bd056,123.01%,665.7MiB / 7.684GiB,8.46%,1.34MB / 144kB,0B / 2.81MB,442
19,cypress-test-container-2,54c6746bd056,249.95%,649.1MiB / 7.684GiB,8.25%,1.68MB / 230kB,0B / 2.84MB,442
21,cypress-test-container-2,54c6746bd056,144.66%,688.2MiB / 7.684GiB,8.75%,2.8MB / 380kB,0B / 3.12MB,441
24,cypress-test-container-2,54c6746bd056,293.70%,749.7MiB / 7.684GiB,9.53%,7.02MB / 488kB,0B / 6.22MB,441
26,cypress-test-container-2,54c6746bd056,146.02%,782MiB / 7.684GiB,9.94%,10.3MB / 526kB,0B / 9.27MB,447
28,cypress-test-container-2,54c6746bd056,251.16%,605.6MiB / 7.684GiB,7.70%,13.3MB / 553kB,205kB / 13MB,438
30,cypress-test-container-2,54c6746bd056,171.96%,638.3MiB / 7.684GiB,8.11%,13.6MB / 568kB,205kB / 13.4MB,438
33,cypress-test-container-2,54c6746bd056,305.01%,679.8MiB / 7.684GiB,8.64%,14.8MB / 696kB,205kB / 13.4MB,444
36,cypress-test-container-2,54c6746bd056,271.00%,727MiB / 7.684GiB,9.24%,15.5MB / 873kB,205kB / 13.4MB,444
38,cypress-test-container-2,54c6746bd056,285.12%,631.3MiB / 7.684GiB,8.02%,15.7MB / 931kB,205kB / 14.2MB,439
40,cypress-test-container-2,54c6746bd056,272.92%,629.8MiB / 7.684GiB,8.00%,15.7MB / 942kB,205kB / 14.5MB,438
43,cypress-test-container-2,54c6746bd056,205.00%,664.6MiB / 7.684GiB,8.45%,16.3MB / 962kB,205kB / 14.6MB,438
45,cypress-test-container-2,54c6746bd056,226.90%,718.1MiB / 7.684GiB,9.13%,17.7MB / 1.02MB,205kB / 18.1MB,438
47,cypress-test-container-2,54c6746bd056,243.93%,751.8MiB / 7.684GiB,9.55%,18.1MB / 1.11MB,205kB / 18.3MB,439
49,cypress-test-container-2,54c6746bd056,213.73%,809MiB / 7.684GiB,10.28%,18.7MB / 1.17MB,205kB / 18.3MB,439
52,cypress-test-container-2,54c6746bd056,240.02%,896.5MiB / 7.684GiB,11.39%,19.3MB / 1.34MB,205kB / 18.4MB,439
55,cypress-test-container-2,54c6746bd056,298.26%,981.8MiB / 7.684GiB,12.48%,19.5MB / 1.4MB,205kB / 19MB,449
58,cypress-test-container-2,54c6746bd056,249.03%,1.057GiB / 7.684GiB,13.75%,19.6MB / 1.41MB,205kB / 19MB,453
60,cypress-test-container-2,54c6746bd056,111.71%,1.372GiB / 7.684GiB,17.86%,19.6MB / 1.42MB,205kB / 70.2MB,453
