Time (s),Container_Name,Container_ID,CPU_Usage,Memory_Usage,Memory_Percent,Net_IO,Block_IO,PIDs
63,cypress-test-container-2,54c6746bd056,263.74%,1.105GiB / 7.684GiB,14.38%,19.6MB / 1.43MB,205kB / 70.3MB,452
65,cypress-test-container-2,54c6746bd056,212.81%,1.233GiB / 7.684GiB,16.05%,19.6MB / 1.44MB,205kB / 70.4MB,453
68,cypress-test-container-2,54c6746bd056,94.86%,1.377GiB / 7.684GiB,17.92%,19.6MB / 1.46MB,205kB / 70.5MB,453
70,cypress-test-container-2,54c6746bd056,145.65%,1.125GiB / 7.684GiB,14.65%,21.4MB / 1.52MB,205kB / 70.5MB,456
73,cypress-test-container-2,54c6746bd056,91.15%,1.145GiB / 7.684GiB,14.90%,21.4MB / 1.54MB,205kB / 70.8MB,457
75,cypress-test-container-2,54c6746bd056,93.75%,1.073GiB / 7.684GiB,13.96%,21.4MB / 1.56MB,205kB / 70.8MB,457
77,cypress-test-container-2,54c6746bd056,137.09%,1.102GiB / 7.684GiB,14.34%,21.5MB / 1.58MB,205kB / 77.2MB,457
79,cypress-test-container-2,54c6746bd056,77.52%,1.008GiB / 7.684GiB,13.12%,21.6MB / 1.61MB,205kB / 77.2MB,457
81,cypress-test-container-2,54c6746bd056,107.24%,1.008GiB / 7.684GiB,13.12%,21.7MB / 1.65MB,205kB / 77.2MB,456
84,cypress-test-container-2,54c6746bd056,73.79%,1.008GiB / 7.684GiB,13.12%,21.7MB / 1.66MB,205kB / 77.2MB,456
86,cypress-test-container-2,54c6746bd056,312.89%,753.2MiB / 7.684GiB,9.57%,21.7MB / 1.68MB,205kB / 79MB,452
88,cypress-test-container-2,54c6746bd056,234.77%,901.4MiB / 7.684GiB,11.46%,21.7MB / 1.68MB,205kB / 79MB,452
90,cypress-test-container-2,54c6746bd056,89.78%,1.13GiB / 7.684GiB,14.71%,21.7MB / 1.7MB,205kB / 79.3MB,452
93,cypress-test-container-2,54c6746bd056,164.67%,900.5MiB / 7.684GiB,11.45%,21.7MB / 1.71MB,205kB / 79.4MB,453
95,cypress-test-container-2,54c6746bd056,142.03%,1.118GiB / 7.684GiB,14.55%,21.8MB / 1.72MB,205kB / 79.4MB,453
97,cypress-test-container-2,54c6746bd056,211.87%,1.168GiB / 7.684GiB,15.20%,22.4MB / 1.76MB,205kB / 79.7MB,454
100,cypress-test-container-2,54c6746bd056,101.53%,1.185GiB / 7.684GiB,15.42%,22.7MB / 1.79MB,205kB / 79.7MB,454
